
臺中市 113年11月全區各區人口結構,,,,,,,,,,,,,,,,,,,,,,,
區域別,性別,總計,0-4歲合計,5-9歲合計,10-14歲合計,15-19歲合計,20-24歲合計,25-29歲合計,30-34歲合計,35-39歲合計,40-44歲合計,45-49歲合計,50-54歲合計,55-59歲合計,60-64歲合計,65-69歲合計,70-74歲合計,75-79歲合計,80-84歲合計,85-89歲合計,90-94歲合計,95-99歲合計,100歲以上
大肚區,計,"55,788","1,715","2,270","2,311","2,625","3,411","3,879","4,015","4,063","4,826","4,742","3,979","3,933","4,084","3,591","2,954","1,464","1,001",589,263,63,10
大肚區,男,"28,303",933,"1,211","1,214","1,359","1,773","2,041","2,157","2,139","2,482","2,450","2,018","1,950","1,933","1,748","1,393",693,433,234,113,28,1
大肚區,女,"27,485",782,"1,059","1,097","1,266","1,638","1,838","1,858","1,924","2,344","2,292","1,961","1,983","2,151","1,843","1,561",771,568,355,150,35,9
龍井區,計,"78,958","2,919","3,560","3,435","3,959","4,764","5,939","6,314","5,907","7,172","6,524","5,621","5,768","5,472","4,380","3,158","1,706","1,240",748,287,77,8
龍井區,男,"39,524","1,487","1,807","1,776","2,073","2,421","3,030","3,250","3,011","3,677","3,290","2,783","2,863","2,762","2,167","1,452",756,507,273,113,24,2
龍井區,女,"39,434","1,432","1,753","1,659","1,886","2,343","2,909","3,064","2,896","3,495","3,234","2,838","2,905","2,710","2,213","1,706",950,733,475,174,53,6
霧峰區,計,"63,402","1,984","2,525","2,424","2,562","3,678","4,407","4,726","4,592","5,191","4,750","4,230","4,704","5,156","4,524","3,469","1,870","1,351",823,357,72,7
霧峰區,男,"32,111","1,042","1,294","1,245","1,352","1,939","2,304","2,515","2,375","2,739","2,484","2,055","2,350","2,584","2,191","1,699",884,610,313,105,27,4
霧峰區,女,"31,291",942,"1,231","1,179","1,210","1,739","2,103","2,211","2,217","2,452","2,266","2,175","2,354","2,572","2,333","1,770",986,741,510,252,45,3
太平區,計,"199,840","7,573","10,049","8,731","8,850","10,709","14,049","16,021","15,930","18,443","16,524","13,658","14,035","13,962","12,446","9,484","4,648","2,662","1,299",554,191,22
太平區,男,"98,133","3,930","5,175","4,558","4,522","5,556","7,266","8,190","7,991","9,412","8,166","6,598","6,616","6,449","5,637","4,251","1,988","1,028",445,244,97,14
太平區,女,"101,707","3,643","4,874","4,173","4,328","5,153","6,783","7,831","7,939","9,031","8,358","7,060","7,419","7,513","6,809","5,233","2,660","1,634",854,310,94,8
大里區,計,"212,212","7,198","10,403","11,015","10,443","12,353","14,706","15,829","15,894","19,040","17,872","14,637","14,634","15,150","13,374","10,151","4,636","2,792","1,404",539,124,18
大里區,男,"103,326","3,620","5,400","5,701","5,488","6,329","7,578","8,152","7,895","9,185","8,731","6,888","6,637","6,852","6,063","4,726","2,130","1,178",520,197,52,4
大里區,女,"108,886","3,578","5,003","5,314","4,955","6,024","7,128","7,677","7,999","9,855","9,141","7,749","7,997","8,298","7,311","5,425","2,506","1,614",884,342,72,14
和平區,計,"10,661",364,335,334,466,592,699,663,555,702,754,847,996,990,872,654,336,261,161,52,24,4
和平區,男,"5,679",178,168,195,234,270,366,391,295,389,418,496,549,532,478,339,151,115,82,19,12,2
和平區,女,"4,982",186,167,139,232,322,333,272,260,313,336,351,447,458,394,315,185,146,79,33,12,2
